date,streak_9,streak_10,streak_11,streak_12,streak_13,streak_14,streak_15,streak_16,streak_17,streak_18,streak_19,streak_20,streak_21,streak_22,streak_23,streak_24,streak_25,streak_26,streak_27,streak_28,streak_29,streak_30
20260516,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20260517,4,4,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20260518,8,3,7,1,3,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0
20260519,5,3,1,3,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20260520,6,2,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20260521,3,6,4,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260522,5,5,0,2,1,2,3,0,1,0,2,1,0,1,2,0,0,0,0,0,0,0
20260523,2,2,2,2,2,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
20260524,5,1,4,1,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20260525,6,0,3,2,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
20260526,2,1,3,2,2,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0
20260527,2,2,3,2,3,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0
20260528,3,5,1,1,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260529,2,5,5,3,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20260530,4,1,2,5,1,0,3,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0
20260531,3,4,3,3,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0
20260601,1,3,3,1,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20260602,4,3,1,2,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20260603,4,4,3,0,3,0,3,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
20260604,4,2,2,1,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20260605,3,5,4,5,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260606,4,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20260607,3,4,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
20260608,5,1,2,0,1,1,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20260609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20260613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20260615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20260616,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0
20260618,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20260619,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
20260620,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20260621,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20260622,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20260624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260625,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
20260626,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20260627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20260701,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
20260704,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
20260705,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20260706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20260707,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
20260708,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
20260711,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20260712,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
