player,days,matches,wins,draws,losses,win_pct,draw_pct,loss_pct,avg_matches_day,avg_wins_day,avg_draws_day,avg_losses_day
Lucas,14,336,109,79,148,32.44,23.51,44.05,24.0,7.79,5.64,10.57
Logan,17,405,146,93,166,36.05,22.96,40.99,23.82,8.59,5.47,9.76
MisterX,19,476,187,99,190,39.29,20.8,39.92,25.05,9.84,5.21,10.0
Adriano,19,452,177,94,181,39.16,20.8,40.04,23.79,9.32,4.95,9.53
Cleo,19,493,246,102,145,49.9,20.69,29.41,25.95,12.95,5.37,7.63
George,14,327,130,66,131,39.76,20.18,40.06,23.36,9.29,4.71,9.36
Kai,20,494,203,96,195,41.09,19.43,39.47,24.7,10.15,4.8,9.75
Juan,5,120,47,23,50,39.17,19.17,41.67,24.0,9.4,4.6,10.0
VanGogh,18,430,166,80,184,38.6,18.6,42.79,23.89,9.22,4.44,10.22
Panther,7,168,88,31,49,52.38,18.45,29.17,24.0,12.57,4.43,7.0
William,15,399,129,73,197,32.33,18.3,49.37,26.6,8.6,4.87,13.13
Matrix,17,404,178,72,154,44.06,17.82,38.12,23.76,10.47,4.24,9.06
Felix,16,365,128,65,172,35.07,17.81,47.12,22.81,8.0,4.06,10.75
Alexis,13,306,177,54,75,57.84,17.65,24.51,23.54,13.62,4.15,5.77
Mateo,7,165,71,29,65,43.03,17.58,39.39,23.57,10.14,4.14,9.29
Eric,23,548,250,96,202,45.62,17.52,36.86,23.83,10.87,4.17,8.78
Eduardo,10,242,108,42,92,44.63,17.36,38.02,24.2,10.8,4.2,9.2
Haidan,16,379,151,64,164,39.84,16.89,43.27,23.69,9.44,4.0,10.25
Pascal,12,286,116,48,122,40.56,16.78,42.66,23.83,9.67,4.0,10.17
Beckham,20,476,185,79,212,38.87,16.6,44.54,23.8,9.25,3.95,10.6
Alexander,21,549,214,89,246,38.98,16.21,44.81,26.14,10.19,4.24,11.71
Arthur,20,474,193,76,205,40.72,16.03,43.25,23.7,9.65,3.8,10.25
Iron,16,463,191,74,198,41.25,15.98,42.76,28.94,11.94,4.62,12.38
Popeye,5,120,49,19,52,40.83,15.83,43.33,24.0,9.8,3.8,10.4
Leonardo,17,408,168,64,176,41.18,15.69,43.14,24.0,9.88,3.76,10.35
Flash,16,383,197,60,126,51.44,15.67,32.9,23.94,12.31,3.75,7.88
Dominic,4,96,44,15,37,45.83,15.62,38.54,24.0,11.0,3.75,9.25
Nathan,4,96,41,15,40,42.71,15.62,41.67,24.0,10.25,3.75,10.0
Oliver,18,432,177,67,188,40.97,15.51,43.52,24.0,9.83,3.72,10.44
Dexter,19,516,209,80,227,40.5,15.5,43.99,27.16,11.0,4.21,11.95
Bruno,16,383,146,59,178,38.12,15.4,46.48,23.94,9.12,3.69,11.12
Gabriel,20,480,266,73,141,55.42,15.21,29.38,24.0,13.3,3.65,7.05
Kaizen,3,67,25,10,32,37.31,14.93,47.76,22.33,8.33,3.33,10.67
Conde,13,306,148,45,113,48.37,14.71,36.93,23.54,11.38,3.46,8.69
Noah,9,215,100,31,84,46.51,14.42,39.07,23.89,11.11,3.44,9.33
Andrew,22,571,228,82,261,39.93,14.36,45.71,25.95,10.36,3.73,11.86
Odin,22,520,259,73,188,49.81,14.04,36.15,23.64,11.77,3.32,8.55
Gael,22,521,218,73,230,41.84,14.01,44.15,23.68,9.91,3.32,10.45
Donatello,16,383,145,53,185,37.86,13.84,48.3,23.94,9.06,3.31,11.56
Liam,13,323,123,43,157,38.08,13.31,48.61,24.85,9.46,3.31,12.08
Maverick,20,500,214,66,220,42.8,13.2,44.0,25.0,10.7,3.3,11.0
Sebastian,17,420,148,55,217,35.24,13.1,51.67,24.71,8.71,3.24,12.76
Samuel,7,168,61,22,85,36.31,13.1,50.6,24.0,8.71,3.14,12.14
Cezar,8,192,58,24,110,30.21,12.5,57.29,24.0,7.25,3.0,13.75
Splinter,12,284,108,34,142,38.03,11.97,50.0,23.67,9.0,2.83,11.83
Kristof,8,204,94,24,86,46.08,11.76,42.16,25.5,11.75,3.0,10.75
Luigi,4,96,42,10,44,43.75,10.42,45.83,24.0,10.5,2.5,11.0
