player,days,matches,wins,draws,losses,win_pct,draw_pct,loss_pct,avg_matches_day,avg_wins_day,avg_draws_day,avg_losses_day
Bruno 7,1,20,2,15,24,10.0,75.0,120.0,20.0,2.0,15.0,24.0
Bruno 10,1,19,1,13,24,5.26,68.42,126.32,19.0,1.0,13.0,24.0
Tifosi 8,1,19,3,13,24,15.79,68.42,126.32,19.0,3.0,13.0,24.0
Banega 7,1,19,0,12,19,0.0,63.16,100.0,19.0,0.0,12.0,19.0
Kangal 11,1,22,1,13,25,4.55,59.09,113.64,22.0,1.0,13.0,25.0
Professor 12,1,19,1,11,24,5.26,57.89,126.32,19.0,1.0,11.0,24.0
Cyclop 11,1,24,0,13,24,0.0,54.17,100.0,24.0,0.0,13.0,24.0
Tifosi 13,1,19,1,10,24,5.26,52.63,126.32,19.0,1.0,10.0,24.0
Sarafi 11,1,19,3,10,24,15.79,52.63,126.32,19.0,3.0,10.0,24.0
Crysis 11,1,23,1,12,24,4.35,52.17,104.35,23.0,1.0,12.0,24.0
Doctor 13,1,24,0,11,24,0.0,45.83,100.0,24.0,0.0,11.0,24.0
Carlos 13,1,20,2,9,24,10.0,45.0,120.0,20.0,2.0,9.0,24.0
Snake 15,1,24,0,9,24,0.0,37.5,100.0,24.0,0.0,9.0,24.0
David,32,755,300,207,248,39.74,27.42,32.85,23.59,9.38,6.47,7.75
Vendetta,27,621,247,167,207,39.77,26.89,33.33,23.0,9.15,6.19,7.67
Ultrex,30,725,233,187,305,32.14,25.79,42.07,24.17,7.77,6.23,10.17
Jack,36,857,308,219,330,35.94,25.55,38.51,23.81,8.56,6.08,9.17
Delpiero,32,745,215,187,343,28.86,25.1,46.04,23.28,6.72,5.84,10.72
Baba,30,693,279,172,242,40.26,24.82,34.92,23.1,9.3,5.73,8.07
Furious,35,835,305,202,328,36.53,24.19,39.28,23.86,8.71,5.77,9.37
Sensei,28,660,249,158,253,37.73,23.94,38.33,23.57,8.89,5.64,9.04
Arthur,33,743,324,174,245,43.61,23.42,32.97,22.52,9.82,5.27,7.42
Viper,37,843,298,197,348,35.35,23.37,41.28,22.78,8.05,5.32,9.41
Hussein,21,480,180,112,188,37.5,23.33,39.17,22.86,8.57,5.33,8.95
Fred,36,811,300,187,324,36.99,23.06,39.95,22.53,8.33,5.19,9.0
Ken,34,794,319,183,292,40.18,23.05,36.78,23.35,9.38,5.38,8.59
Kevin,11,240,92,55,93,38.33,22.92,38.75,21.82,8.36,5.0,8.45
Kangal,33,767,275,175,317,35.85,22.82,41.33,23.24,8.33,5.3,9.61
Professor,34,805,297,180,328,36.89,22.36,40.75,23.68,8.74,5.29,9.65
Kratos,19,452,179,101,172,39.6,22.35,38.05,23.79,9.42,5.32,9.05
Goat,28,659,349,146,164,52.96,22.15,24.89,23.54,12.46,5.21,5.86
Lucas,36,847,312,187,348,36.84,22.08,41.09,23.53,8.67,5.19,9.67
Lawyer,29,678,199,148,331,29.35,21.83,48.82,23.38,6.86,5.1,11.41
Eros,34,809,394,176,239,48.7,21.76,29.54,23.79,11.59,5.18,7.03
Shaolin,29,684,289,147,248,42.25,21.49,36.26,23.59,9.97,5.07,8.55
Banega,33,773,309,164,300,39.97,21.22,38.81,23.42,9.36,4.97,9.09
Spark,25,591,218,125,248,36.89,21.15,41.96,23.64,8.72,5.0,9.92
Lio,32,760,289,160,311,38.03,21.05,40.92,23.75,9.03,5.0,9.72
Carlos,27,647,239,136,272,36.94,21.02,42.04,23.96,8.85,5.04,10.07
Rossi,33,777,312,160,305,40.15,20.59,39.25,23.55,9.45,4.85,9.24
Tifosi,38,892,405,182,305,45.4,20.4,34.19,23.47,10.66,4.79,8.03
Walnut,28,652,258,132,262,39.57,20.25,40.18,23.29,9.21,4.71,9.36
Leon,25,585,204,118,263,34.87,20.17,44.96,23.4,8.16,4.72,10.52
