league,player,matches,draws,draw_pct,current_streak_real,avg_streak,samples,prob_next_8,reason,recommendation
GT,Lio,1114,228,20.47,4,4.87,100,86.0,DRAW_OK|PROB_OK|SAMPLES_OK,WATCH
GT,Snail,1027,200,19.47,7,5.17,43,83.72,DRAW_OK|SAMPLES_OK|STREAK_OK,WATCH
GT,Jose,968,206,21.28,0,4.82,0,0.0,DRAW_OK,SKIP
GT,Titan,1009,187,18.53,1,5.34,154,82.47,DRAW_OK|SAMPLES_OK,WATCH
GT,Jetli,1026,199,19.4,0,5.17,0,0.0,DRAW_OK,SKIP
GT,Lucas,1207,281,23.28,2,4.39,161,81.99,DRAW_OK|SAMPLES_OK,WATCH
GT,Hulk,1070,203,18.97,0,4.98,0,0.0,DRAW_OK,SKIP
GT,Kratos,707,169,23.9,1,4.3,125,85.6,DRAW_OK|PROB_OK|SAMPLES_OK,WATCH
EADRIATIC,Alexander,817,127,15.54,0,6.27,0,0.0,,SKIP
EADRIATIC,Beckham,726,106,14.6,5,6.26,46,71.74,SAMPLES_OK,SKIP
EADRIATIC,Bruno,548,94,17.15,1,5.47,83,78.31,DRAW_OK|SAMPLES_OK,SKIP
EADRIATIC,Gabriel,700,98,14.0,24,7.08,3,66.67,STREAK_OK,SKIP
EADRIATIC,Mateo,219,35,15.98,0,6.57,0,0.0,,SKIP
EADRIATIC,Oliver,652,103,15.8,27,6.7,2,0.0,STREAK_OK,SKIP
EADRIATIC,Leonardo,605,96,15.87,7,6.06,30,70.0,SAMPLES_OK|STREAK_OK,SKIP
EADRIATIC,VanGogh,721,139,19.28,1,5.2,112,79.46,DRAW_OK|SAMPLES_OK,SKIP
EADRIATIC,Matrix,652,112,17.18,1,5.87,92,80.43,DRAW_OK|SAMPLES_OK,WATCH
EADRIATIC,Cezar,412,52,12.62,9,7.5,17,70.59,STREAK_OK,SKIP
